Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Específica;Coordinar la planificación y logística de eventos promocionales o institucionales.;Eventos Ejecutados;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Específica;Gestionar la articulación con otras áreas para acciones comunicacionales integradas.;Campañas Coordinadas Multicanal;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Operativo;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Genérica;Diseñar y ejecutar acciones institucionales y eventos promocionales para posicionar la propuesta de valor.;Agenda de Eventos y Activaciones Institucionales;
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Operativo;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Específica;Diseñar piezas de comunicación para el segmento Personas en coordinación con Marketing.;Piezas Aprobadas;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Operativo;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Específica;Coordinar eventos institucionales, alianzas y acciones de cercanía con el público objetivo.;Agenda de Eventos Ejecutados;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Gerencia General > Sgp Clientes > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Genérica;Gestionar la integración multicanal de mensajes y piezas comunicacionales, alineando tono, formato y objetivos.;Campañas Integradas Multicanal;
Comunicaciones Y Eventos;Segmento Personas;SGD;Gerencia General > Sgp Clientes > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Específica;Gestionar calendario de activaciones comerciales y presencia institucional.;Informe de Activaciones y Eventos Ejecutados;37,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Genérica;Diseñar campañas comunicacionales específicas para empresas. Coordinar eventos de relacionamiento, ferias y encuentros corporativos. Integrar esfuerzos con Marketing y otras áreas del banco para una estrategia coherente.;Plan de Comunicación y Eventos para el Segmento Empresas;
Comunicaciones Y Eventos;Segmento Empresas;SGD;Gerencia General > Sgp Clientes > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Genérica;Diseñar piezas de comunicación institucional y coordinar la agenda de actividades dirigidas a empresas.;Agenda de Comunicación Institucional;
Comunicaciones Y Eventos;Segmento Empresas;SGD;Gerencia General > Sgp Clientes > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Genérica;Producir materiales institucionales y kits de relacionamiento para clientes estratégicos y empresas relevantes.;Kit de Relacionamiento Institucional;
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Diseñar campañas de comunicación adaptadas al perfil de empresas y sectores productivos.;Campañas Comunicacionales Ejecutadas;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Planificar eventos institucionales y comerciales orientados a empresas.;Eventos Corporativos Realizados;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Gestionar la articulación con otras áreas para asegurar acciones de comunicación coherentes y multicanal.;Campañas Coordinadas Multisegmento;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Organizar eventos comerciales, foros sectoriales y rondas empresariales que involucren al banco.;Evento Ejecutado / Informe Post-Evento;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Gestionar invitaciones y asegurar presencia institucional en eventos clave del ecosistema empresarial.;Registro de Participación Institucional;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Coordinar piezas visuales y materiales promocionales para difusión en eventos y medios digitales.;Material Institucional Validado;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Supervisar el cumplimiento del plan de comunicación anual y realizar ajustes según performance.;Informe de Cumplimiento de Agenda;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Empresas, fortaleciendo el posicionamiento del banco frente al ecosistema empresarial, promoviendo vínculos con clientes de alto valor, difundiendo la propuesta de valor y consolidando la imagen institucional del banco.;Específica;Analizar resultados de campañas y eventos mediante métricas de impacto y engagement.;Reporte de Resultados de Comunicación;12,5
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Genérica;Coordinar el ciclo de vida de los productos activos. Analizar mercado, regulaciones y rentabilidad.;Portafolio de Productos Activos Vigente;
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Específica;Diseñar condiciones financieras y operativas para préstamos.;Condiciones de Productos Activos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Específica;Monitorear la colocación, riesgo y rentabilidad de productos activos.;Informe de Gestión de Activos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Específica;Coordinar acciones comerciales y comunicacionales con otras áreas.;Campañas de Difusión y Promoción;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Genérica;Diseñar, ajustar y actualizar productos activos (préstamos, créditos, líneas especiales), asegurando su adecuación estratégica y operativa. Coordinar su implementación con canales y marketing.;Portafolio de Productos Activos Actualizado;
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Específica;Diseñar productos de crédito y actualizar condiciones según estrategia y contexto.;Productos de Crédito Definidos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Específica;Evaluar la performance y rentabilidad de los productos activos vigentes.;Reporte de Rentabilidad de Activos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4.0;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su alineación con las necesidades de los segmentos, la rentabilidad institucional y la estrategia comercial, mediante el análisis del mercado, el diseño financiero y la coordinación de su colocación y promoción.;Específica;Coordinar acciones con canales y marketing para su difusión y gestión comercial.;Campañas de Promoción de Créditos;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Genérica;Coordinar evolución de Home Banking, App y otros canales digitales. Alinear con segmentos y productos.;Roadmap de Canales Digitales;
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Definir requerimientos y funcionalidades prioritarias para canales digitales.;Matriz de Requerimientos Priorizados;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Monitorear performance técnica y uso de los canales digitales.;Dashboard de Performance Digital;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Coordinar con tecnología la evolución técnica de los canales.;Releases Aprobadas;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Genérica;Diseñar y mantener la estrategia de canales digitales. Supervisar la operación de plataformas online. Detectar oportunidades de mejora e innovación en la experiencia digital.;Estrategia de Banca Digital y Tablero de Evolución;
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Diseñar e implementar mejoras continuas en la plataforma de banca digital.;Actualizaciones y Releases de Plataformas;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Supervisar la operación diaria de canales digitales y resolver incidencias.;Reporte de Operación Digital;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4.0;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Identificar oportunidades de innovación y mejoras en la experiencia digital.;Informe de Oportunidades de Mejora;16,67
Coordinación Del Negocio;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Coordinación del Negocio;5.0;0;No;Táctico;Coordinar la planificación y gestión operativa del negocio a partir del monitoreo de planes, indicadores y actividades comerciales de las unidades bajo la SG de Negocios.;Genérica;Consolidar indicadores de gestión. Coordinar planes tácticos del negocio. Articular ejecución con áreas soporte.;Tablero de Control del Negocio;
Coordinación Del Negocio;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Coordinación del Negocio;5.0;0;No;Táctico;Coordinar la planificación y gestión operativa del negocio a partir del monitoreo de planes, indicadores y actividades comerciales de las unidades bajo la SG de Negocios.;Específica;Monitorear el cumplimiento del plan comercial y coordinar ajustes tácticos.;Informe de Seguimiento Comercial;60
Coordinación Del Negocio;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Coordinación del Negocio;5.0;0;No;Táctico;Coordinar la planificación y gestión operativa del negocio a partir del monitoreo de planes, indicadores y actividades comerciales de las unidades bajo la SG de Negocios.;Específica;Articular acciones de mejora con áreas soporte según desvíos detectados.;Planes de Acción Correctiva;40
Data Personas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Personas;5.0;0;No;Táctico;Asegurar la calidad, disponibilidad y consistencia de los datos del segmento Personas, facilitando su aprovechamiento para la toma de decisiones comerciales, operativas y estratégicas.;Genérica;Gestionar el modelo de datos y los procesos de carga y mantenimiento vinculados al segmento Personas.;Base de Datos Segmento Personas Consolidada y Validada;
Data Personas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Personas;5.0;0;No;Táctico;Asegurar la calidad, disponibilidad y consistencia de los datos del segmento Personas, facilitando su aprovechamiento para la toma de decisiones comerciales, operativas y estratégicas.;Específica;Diseñar estructura de datos, integrar fuentes y asegurar validaciones.;Modelo de Datos de Personas;50
Data Personas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Personas;5.0;0;No;Táctico;Asegurar la calidad, disponibilidad y consistencia de los datos del segmento Personas, facilitando su aprovechamiento para la toma de decisiones comerciales, operativas y estratégicas.;Específica;Proveer datos validados y actualizados para uso comercial y analítico.;Dataset Curado de Personas;50
Data Empresas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Empresas;5.0;0;No;Táctico;Gestionar la arquitectura, calidad y explotación de los datos del segmento Empresas, garantizando su alineación con las necesidades de análisis, control y decisión del negocio.;Genérica;Gestionar estructura de datos, procesos de carga, calidad y disponibilidad de información del segmento Empresas.;Modelo de Datos Empresariales Estandarizado;
Data Empresas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Empresas;5.0;0;No;Táctico;Gestionar la arquitectura, calidad y explotación de los datos del segmento Empresas, garantizando su alineación con las necesidades de análisis, control y decisión del negocio.;Específica;Diseñar e implementar procesos de carga y mantenimiento de datos.;Tablas Actualizadas de Empresas;50
Data Empresas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Empresas;5.0;0;No;Táctico;Gestionar la arquitectura, calidad y explotación de los datos del segmento Empresas, garantizando su alineación con las necesidades de análisis, control y decisión del negocio.;Específica;Coordinar validaciones cruzadas y disponibilización de vistas para usuarios internos.;Dashboard de Datos de Empresas;50
Data Canales;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Canales;5.0;0;No;Táctico;Asegurar el registro, calidad y análisis de datos provenientes de los distintos canales del banco, promoviendo su uso para monitoreo de desempeño, planeamiento y mejora continua.;Genérica;Estandarizar fuentes, integrar métricas y generar vistas operativas y estratégicas.;Modelo Unificado de Datos de Canales;
Data Canales;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Canales;5.0;0;No;Táctico;Asegurar el registro, calidad y análisis de datos provenientes de los distintos canales del banco, promoviendo su uso para monitoreo de desempeño, planeamiento y mejora continua.;Específica;Integrar datos de atención presencial, digital y remota.;Matriz Consolidada de Canales;50
Data Canales;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Canales;5.0;0;No;Táctico;Asegurar el registro, calidad y análisis de datos provenientes de los distintos canales del banco, promoviendo su uso para monitoreo de desempeño, planeamiento y mejora continua.;Específica;Construir dashboards de performance para cada canal.;Reportes de Seguimiento de Canales;50
Data Productos, Medios de Pago y Otros;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Productos, Medios de Pago y Otros;5.0;0;No;Táctico;Diseñar, consolidar y mantener estructuras de datos confiables y alineadas a la operación y toma de decisiones sobre productos, medios de pago y áreas funcionales no segmentadas.;Genérica;Administrar la calidad, modelo y disponibilidad de datos vinculados a productos, medios de pago y otros ámbitos de negocio.;Tablas Maestras y Modelos de Datos Integrados;
Data Productos, Medios de Pago y Otros;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Productos, Medios de Pago y Otros;5.0;0;No;Táctico;Diseñar, consolidar y mantener estructuras de datos confiables y alineadas a la operación y toma de decisiones sobre productos, medios de pago y áreas funcionales no segmentadas.;Específica;Estandarizar modelos y construir procesos ETL para reportes de gestión.;Estructuras de Datos Automatizadas;60
Data Productos, Medios de Pago y Otros;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Productos, Medios de Pago y Otros;5.0;0;No;Táctico;Diseñar, consolidar y mantener estructuras de datos confiables y alineadas a la operación y toma de decisiones sobre productos, medios de pago y áreas funcionales no segmentadas.;Específica;Proveer dashboards y datasets para monitoreo operativo y estratégico.;Dashboards para Seguimiento del Negocio;40
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;3.0;0;No;Estratégico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Genérica;Definir lineamientos y protocolos de atención en todos los canales. Evaluar experiencia y proponer mejoras.;Modelo Integral de Atención al Cliente;
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;3.0;0;No;Estratégico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Específica;Desarrollar protocolos de atención omnicanal basados en necesidades del cliente.;Protocolos de Atención Documentados;20
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;3.0;0;No;Estratégico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Específica;Evaluar satisfacción del cliente e identificar oportunidades de mejora.;Informe de Resultados y Recomendaciones;20
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;4.0;0;No;Táctico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Genérica;Establecer lineamientos del modelo de atención multicanal. Identificar fricciones en la experiencia de los clientes. Diseñar iniciativas de mejora y transformación. Coordinar con canales físicos y digitales.;Modelo de Atención Multicanal y Reportes de Experiencia;
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;4.0;0;No;Táctico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Específica;Diseñar e implementar el modelo de atención alineado con los distintos canales.;Modelo de Atención Documentado;20
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;4.0;0;No;Táctico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Específica;Identificar fricciones en la experiencia de atención y proponer soluciones.;Mapa de Fricciones y Planes de Mejora;20
Experiencia Del Cliente Y Modelo De Atención;Canales;GD;Sgp Negocio > Canales > Experiencia del Cliente y Modelo de Atención;4.0;0;No;Táctico;Diseñar e implementar el modelo de atención integral al cliente, fortaleciendo su experiencia y garantizando la consistencia y eficacia en todos los puntos de contacto.;Específica;Monitorear indicadores de experiencia del cliente y proponer mejoras.;Reporte de Indicadores de Experiencia;20
Gestion de Cobranzas;SG Riesgo Crediticio;GD;SG Riesgo Crediticio > Gestion de Cobranzas;3.0;0;No;Táctico;Coordinar, supervisar y optimizar los procesos de recuperación de cartera en mora, asegurando eficiencia, cumplimiento normativo y resguardo del vínculo con el cliente.;Genérica;Diseñar estrategias de cobranzas según perfiles y segmentos. Supervisar campañas y gestión operativa.;Plan Integral de Recupero de Cartera;
Gestion de Cobranzas;SG Riesgo Crediticio;GD;SG Riesgo Crediticio > Gestion de Cobranzas;3.0;0;No;Táctico;Coordinar, supervisar y optimizar los procesos de recuperación de cartera en mora, asegurando eficiencia, cumplimiento normativo y resguardo del vínculo con el cliente.;Específica;Definir parámetros de segmentación, herramientas y canales de cobro.;Estrategia de Segmentación de Mora;50
Gestion de Cobranzas;SG Riesgo Crediticio;GD;SG Riesgo Crediticio > Gestion de Cobranzas;3.0;0;No;Táctico;Coordinar, supervisar y optimizar los procesos de recuperación de cartera en mora, asegurando eficiencia, cumplimiento normativo y resguardo del vínculo con el cliente.;Específica;Monitorear gestión tercerizada, resultados y cumplimiento de metas.;Informes de Gestión de Cobranzas;50
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;3.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Genérica;Supervisar la implementación de iniciativas comerciales en red de atención. Consolidar resultados.;Tablero de Ejecución Comercial;
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;3.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Específica;Alinear equipos comerciales con campañas activas, segmentación y foco estratégico.;Informe de Implementación;20
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;3.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Específica;Proponer ajustes según feedback de red y resultados de las campañas.;Recomendaciones de Ajuste Comercial;20
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;4.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Genérica;Consolidar información de gestión comercial. Coordinar la ejecución de acciones con los canales físicos y digitales. Monitorear resultados y proponer ajustes para el cumplimiento de metas.;Reporte de Gestión Comercial de Canales;
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;4.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Específica;Consolidar y analizar indicadores de gestión comercial en todos los canales.;Dashboard de Resultados Comerciales;20
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;4.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Específica;Coordinar la ejecución de acciones comerciales y campañas en canales físicos y digitales.;Ejecución de Campañas Comerciales;20
Gestión Comercial;Canales;GD;Sgp Negocio > Canales > Gestión Comercial;4.0;0;No;Táctico;Coordinar la ejecución comercial en los distintos canales, garantizando la consistencia, foco en los objetivos estratégicos y correcta implementación de campañas y acciones definidas.;Específica;Proponer ajustes a la gestión y diseño de acciones comerciales en base al análisis de resultados.;Propuesta de Mejora Comercial;20
