Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Definir prioridades comerciales. Consolidar propuestas de valor. Coordinar ejecución con productos y canales.;Plan Estratégico Comercial del Segmento Personas;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Definir ejes comerciales prioritarios y segmentar público objetivo.;Matriz de Propuesta de Valor;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Definir mejoras en el posicionamiento del segmento y su integración en canales y productos.;Mapa de Posicionamiento Comercial;12,5
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Genérica;Supervisar resultados comerciales por subsegmento. Analizar desvíos y oportunidades. Proponer tácticas correctivas y coordinar con áreas clave su implementación. Consolidar reportes de performance.;Informe Consolidado de Performance por Subsegmento;
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Monitorear el cumplimiento de los objetivos comerciales por subsegmento.;Tablero de Seguimiento Comercial;12,5
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Coordinar la implementación táctica de acciones comerciales por subsegmento.;Acciones Comerciales Ejecutadas;12,5
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Consolidar y presentar reportes de performance comercial por subsegmento.;Reporte Integrado de Gestión Comercial;12,5
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;3;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Genérica;Supervisar los equipos responsables por cada segmento. Coordinar acciones transversales. Evaluar performance.;Plan Integrado por Segmento y KPIs;
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;3;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Conducir el alineamiento estratégico de todos los segmentos del área Personas.;Informe de Consolidación Estratégica;12,5
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;3;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Supervisar y retroalimentar las propuestas de valor e iniciativas de cada segmento.;Revisión de Propuesta de Valor y Resultados;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Genérica;Monitorear resultados comerciales. Detectar desvíos y necesidades. Proponer ajustes y acciones correctivas. Articular con canales, productos y regiones.;Informe Consolidado de Gestión por Subsegmento;
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Monitorear cumplimiento de objetivos comerciales por subsegmento de empresas.;Tableros de Seguimiento de Gestión Comercial;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Proponer tácticas correctivas y de impulso comercial.;Plan de Mejora Comercial por Subsegmento;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los diferentes subsegmentos del Segmento Personas, asegurando el cumplimiento de objetivos, la ejecución táctica alineada a la estrategia y la generación de propuestas de mejora continua.;Específica;Articular con otras áreas las acciones requeridas para el cumplimiento de metas comerciales.;Acciones Comerciales Coordinadas;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Genérica;Construir reportes comerciales y tableros de gestión. Identificar patrones de comportamiento y desvíos. Realizar análisis predictivos y segmentaciones que orienten las decisiones comerciales.;Inteligencia Comercial Aplicada;
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Elaborar tableros de control y reportes de performance comercial.;Dashboards de Gestión Comercial;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Detectar oportunidades comerciales mediante análisis de comportamiento de clientes.;Alertas y Oportunidades Comerciales;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Ejecutar análisis de segmentación y comportamiento de clientes.;Modelos de Segmentación Comercial;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Genérica;Consolidar tableros, realizar reportes y análisis comerciales segmentados.;Reportes de Inteligencia Comercial;
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Elaborar modelos predictivos de comportamiento comercial.;Modelos de Scoring y Propensión;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Realizar análisis multivariado y estudios ad hoc para decisiones comerciales.;Estudios e Insights por Segmento;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Genérica;Elaborar informes de performance comercial, análisis de comportamiento de empresas, y modelos de segmentación que respalden decisiones de negocio.;Informes de Inteligencia Comercial para Empresas;
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Construir tableros de seguimiento para la gestión comercial del segmento Empresas.;Tableros de Performance Comercial;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Analizar comportamientos comerciales y detectar oportunidades de gestión empresarial.;Oportunidades Comerciales Segmentadas;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Personas mediante el procesamiento, análisis y visualización de datos comerciales, detectando oportunidades de negocio, eficiencia y mejora en la gestión comercial.;Específica;Desarrollar modelos analíticos de segmentación y comportamiento empresarial.;Modelos Predictivos y Segmentación;12,5
Inteligencia Comercial;Segmento Personas;SGD;Gerencia General > Sgp Negocios > Segmento Personas > Inteligencia Comercial;4;0;No;Analítico;Analizar el comportamiento comercial del segmento Personas para identificar oportunidades de mejora, eficiencia y generación de valor en las estrategias de relacionamiento.;Genérica;Diseñar tableros, análisis de performance y modelado predictivo de comportamiento.;Tablero Comercial Segmento Personas;NA
Inteligencia Comercial;Segmento Personas;SGD;Gerencia General > Sgp Negocios > Segmento Personas > Inteligencia Comercial;4;0;No;Analítico;Analizar el comportamiento comercial del segmento Personas para identificar oportunidades de mejora, eficiencia y generación de valor en las estrategias de relacionamiento.;Específica;Elaborar reportes de campañas y performance por subsegmento;Reportes de Performance Segmentada;100
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Inteligencia Comercial;4;0;No;Analítico;Analizar el comportamiento comercial de los clientes empresariales para identificar oportunidades, eficiencias y riesgos, fortaleciendo la toma de decisiones del segmento.;Genérica;Construir tableros y reportes por segmento, industria y producto;Dashboard Comercial Empresas;NA
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Inteligencia Comercial;4;0;No;Analítico;Analizar el comportamiento comercial de los clientes empresariales para identificar oportunidades, eficiencias y riesgos, fortaleciendo la toma de decisiones del segmento.;Específica;Desarrollar reportes periódicos de performance de campañas y productos;Informes de Efectividad Comercial;100
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Inteligencia Comercial;4;0;No;Analítico;Analizar el comportamiento comercial de los clientes empresariales para identificar oportunidades, eficiencias y riesgos, fortaleciendo la toma de decisiones del segmento.;Genérica;Realizar benchmarking de performance comercial vs. bancos pares;Informe de Competencia;NA
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Inteligencia Comercial;4;0;No;Analítico;Analizar el comportamiento comercial de los clientes empresariales para identificar oportunidades, eficiencias y riesgos, fortaleciendo la toma de decisiones del segmento.;Específica;Analizar rentabilidad por cliente y sugerir ajustes a la oferta;Modelo de Rentabilidad de Clientes;100
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Genérica;Diseñar campañas de comunicación dirigidas al segmento. Organizar eventos institucionales, ferias y actividades promocionales. Colaborar con Marketing en la ejecución de acciones específicas para personas.;Plan de Comunicación y Eventos del Segmento Personas;
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Diseñar e implementar campañas de comunicación específicas para el segmento.;Campañas Comunicacionales Ejecutadas;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Coordinar la planificación y logística de eventos promocionales o institucionales.;Eventos Ejecutados;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Gestionar la articulación con otras áreas para acciones comunicacionales integradas.;Campañas Coordinadas Multicanal;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Operativo;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Genérica;Diseñar contenidos y coordinar la ejecución de eventos y acciones de visibilidad del segmento.;Plan de Comunicaciones y Eventos Ejecutados;
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Operativo;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Diseñar piezas de comunicación para el segmento Personas en coordinación con Marketing.;Piezas Aprobadas;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Operativo;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Coordinar eventos institucionales, alianzas y acciones de cercanía con el público objetivo.;Agenda de Eventos Ejecutados;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Genérica;Diseñar campañas comunicacionales específicas para empresas. Coordinar eventos de relacionamiento, ferias y encuentros corporativos. Integrar esfuerzos con Marketing y otras áreas del banco para una comunicación alineada y efectiva.;Plan de Comunicación y Eventos para el Segmento Empresas;
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Diseñar campañas de comunicación adaptadas al perfil de empresas y sectores productivos.;Campañas Comunicacionales Ejecutadas;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Planificar eventos institucionales y comerciales orientados a empresas.;Eventos Corporativos Realizados;12,5
Comunicaciones Y Eventos;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Coordinar y ejecutar acciones de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, difundiendo la propuesta de valor e impulsando la imagen institucional del banco.;Específica;Gestionar la articulación con otras áreas para acciones comunicacionales integradas.;Campañas Coordinadas Multisegmento;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Gerencia General > Sgp Negocios > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Táctico;Diseñar e implementar acciones de comunicación y eventos que fortalezcan la conexión del Banco con sus clientes del segmento Personas.;Genérica;Diseñar campañas, coordinar eventos, articular con marketing y canales.;Plan de Comunicación y Agenda de Eventos;NA
Comunicaciones Y Eventos;Segmento Personas;SGD;Gerencia General > Sgp Negocios > Segmento Personas > Comunicaciones Y Eventos;4;0;No;Táctico;Diseñar e implementar acciones de comunicación y eventos que fortalezcan la conexión del Banco con sus clientes del segmento Personas.;Específica;Gestionar calendario de activaciones comerciales y presencia institucional.;Informe de Activaciones y Eventos Ejecutados;100
Comunicaciones Y Eventos;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Diseñar e implementar acciones de comunicación y eventos institucionales para potenciar el posicionamiento del Banco en el universo corporativo.;Genérica;Diseñar piezas de comunicación y coordinar agenda de actividades con empresas;Agenda de Comunicación Institucional;NA
Comunicaciones Y Eventos;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Diseñar e implementar acciones de comunicación y eventos institucionales para potenciar el posicionamiento del Banco en el universo corporativo.;Específica;Organizar eventos comerciales y foros empresariales del Banco;Evento Ejecutado / Informe Post-Evento;100
Comunicaciones Y Eventos;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Diseñar e implementar acciones de comunicación y eventos institucionales para potenciar el posicionamiento del Banco en el universo corporativo.;Genérica;Producir materiales institucionales para clientes de alto valor;Kit de Relacionamiento Institucional;NA
Comunicaciones Y Eventos;Segmento Empresas;SGD;Gerencia General > Sgp Negocios > Segmento Empresas > Comunicaciones Y Eventos;4;0;No;Táctico;Diseñar e implementar acciones de comunicación y eventos institucionales para potenciar el posicionamiento del Banco en el universo corporativo.;Específica;Gestionar invitaciones y presencia institucional en eventos del ecosistema empresarial;Registro de Participación Institucional;100
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Genérica;Coordinar el ciclo de vida de los productos activos. Analizar mercado, regulaciones y rentabilidad.;Portafolio de Productos Activos Vigente;
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Específica;Diseñar condiciones financieras y operativas para préstamos.;Condiciones de Productos Activos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Específica;Monitorear la colocación, riesgo y rentabilidad de productos activos.;Informe de Gestión de Activos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Específica;Coordinar acciones comerciales y comunicacionales con otras áreas.;Campañas de Difusión y Promoción;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Genérica;Diseñar y actualizar productos activos (préstamos, créditos, líneas especiales). Realizar análisis de mercado y rentabilidad. Coordinar implementación y promoción con canales.;Portafolio de Productos Activos;
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Específica;Diseñar productos de crédito y actualizar condiciones según estrategia y contexto.;Productos de Crédito Definidos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Específica;Evaluar la performance y rentabilidad de los productos activos vigentes.;Reporte de Rentabilidad de Activos;16,67
Activos;Productos;SGD;Sgp Negocio > Productos > Activos;4;0;No;Táctico;Diseñar, gestionar y optimizar los productos activos del banco, incluyendo créditos y préstamos, asegurando su adecuación a las necesidades de los segmentos y la estrategia institucional.;Específica;Coordinar acciones con canales y marketing para su difusión y gestión comercial.;Campañas de Promoción de Créditos;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Genérica;Coordinar evolución de Home Banking, App y otros canales digitales. Alinear con segmentos y productos.;Roadmap de Canales Digitales;
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Definir requerimientos y funcionalidades prioritarias para canales digitales.;Matriz de Requerimientos Priorizados;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Monitorear performance técnica y uso de los canales digitales.;Dashboard de Performance Digital;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;3;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Coordinar con tecnología la evolución técnica de los canales.;Releases Aprobadas;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Genérica;Diseñar y mantener la estrategia de canales digitales. Supervisar la operación de plataformas online. Detectar oportunidades de mejora e innovación en la experiencia digital.;Estrategia de Banca Digital y Tablero de Evolución;
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Diseñar e implementar mejoras continuas en la plataforma de banca digital.;Actualizaciones y Releases de Plataformas;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Supervisar la operación diaria de canales digitales y resolver incidencias.;Reporte de Operación Digital;16,67
Banca Digital;Canales;GD;Sgp Negocio > Canales > Banca Digital;4;0;No;Táctico;Gestionar y evolucionar los canales digitales del banco, garantizando su disponibilidad, usabilidad y alineación con las expectativas de los usuarios y la estrategia digital del banco.;Específica;Identificar oportunidades de innovación y mejoras en la experiencia digital.;Informe de Oportunidades de Mejora;16,67
Cac;Canales;SGD;Sgp Negocio > Canales > Cac;4;0;No;Operativo;Atender y resolver consultas, reclamos y requerimientos de los clientes a través de canales no presenciales, garantizando la calidad, eficacia y trazabilidad del servicio.;Genérica;Gestionar la atención por teléfono, chat y redes sociales. Registrar interacciones. Escalar según protocolos.;Interacciones Registradas y Resueltas;
Cac;Canales;SGD;Sgp Negocio > Canales > Cac;4;0;No;Operativo;Atender y resolver consultas, reclamos y requerimientos de los clientes a través de canales no presenciales, garantizando la calidad, eficacia y trazabilidad del servicio.;Específica;Atender reclamos y consultas de clientes en canales virtuales.;Casos Atendidos;40
Cac;Canales;SGD;Sgp Negocio > Canales > Cac;4;0;No;Operativo;Atender y resolver consultas, reclamos y requerimientos de los clientes a través de canales no presenciales, garantizando la calidad, eficacia y trazabilidad del servicio.;Específica;Registrar interacciones, identificar causas frecuentes y sugerir mejoras.;Registro de Interacciones y Reporte de Causas;30
Cac;Canales;SGD;Sgp Negocio > Canales > Cac;4;0;No;Operativo;Atender y resolver consultas, reclamos y requerimientos de los clientes a través de canales no presenciales, garantizando la calidad, eficacia y trazabilidad del servicio.;Específica;Escalar casos críticos a áreas especializadas según protocolos.;Escalamientos Efectivos;30
Coordinación Del Negocio;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Coordinación del Negocio;5;0;No;Táctico;Coordinar la planificación y gestión operativa del negocio a partir del monitoreo de planes, indicadores y actividades comerciales de las unidades bajo la SG de Negocios.;Genérica;Consolidar indicadores de gestión. Coordinar planes tácticos del negocio. Articular ejecución con áreas soporte.;Tablero de Control del Negocio;
Coordinación Del Negocio;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Coordinación del Negocio;5;0;No;Táctico;Coordinar la planificación y gestión operativa del negocio a partir del monitoreo de planes, indicadores y actividades comerciales de las unidades bajo la SG de Negocios.;Específica;Monitorear el cumplimiento del plan comercial y coordinar ajustes tácticos.;Informe de Seguimiento Comercial;60
Coordinación Del Negocio;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Coordinación del Negocio;5;0;No;Táctico;Coordinar la planificación y gestión operativa del negocio a partir del monitoreo de planes, indicadores y actividades comerciales de las unidades bajo la SG de Negocios.;Específica;Articular acciones de mejora con áreas soporte según desvíos detectados.;Planes de Acción Correctiva;40
Data Personas;Coordinación Del Negocio Y Datos;JPD;Sgp Negocio > Coordinación del Negocio y Datos > Data Personas;5;0;No;Táctico;Asegurar la calidad, disponibilidad y consistencia de los datos del segmento Personas, facilitando su aprovechamiento para la toma de decisiones comerciales, operativas y estratégicas.;Genérica;Gestionar el modelo de datos y los procesos de carga y mantenimiento vinculados al segmento Personas.;Base de Datos Segmento Personas Consolidada y Validada;
